index,text,confidence
599,-,0.4725
600,-,0.8516
601,-,0.7548
602,-,0.813
603,1,0.5698
604,1,0.5164
605,L,0.7779
606,E,0.8694
607,ET,0.7447
608,=,0.8116
609,-,0.6619
610,-,0.703
611,1,0.6211
612,-,0.2487
613,TT,0.3447
614,L,0.3797
615,-,0.3367
616,F,0.3682
617,=,0.802
618,-,0.9022
619,T,0.3145
620,-,0.6248
621,-,0.709
622,-,0.6471
623,-,0.5278
624,-,0.832
625,-,0.2196
626,=,0.6568
627,1,0.5713
628,1,0.4662
629,1,0.6465
630,-,0.6296
631,-,0.4445
632,1,0.3505
633,=,0.3993
634,TRE,0.2493
635,1,0.3653
636,Ptn,0.2206
637,-,0.4538
638,=,0.5765
639,L,0.3682
640,L,0.361
641,L,0.4706
642,-,0.5673
643,-,0.5356
644,1,0.4406
645,EUTTITT!,0.2818
646,EmT!,0.2154
647,-,0.6063
648,1,0.3372
649,1,0.6134
650,-,0.642
651,I,0.282
652,1,0.4626
653,1,0.3141
654,i,0.3601
655,-,0.5361
656,=,0.815
657,HERES,0.398
658,=,0.6425
659,=,0.4707
660,=,0.716
661,-,0.5271
662,=,0.6938
663,-,0.3602
664,1,0.4735
665,-,0.3276
666,-,0.3684
667,TTTTS,0.1213
668,P,0.1408
669,1,0.299
670,=,0.3829
671,1,0.648
672,-,0.5282
673,1,0.7124
674,,0.511
675,-,0.8991
676,E,0.4707
677,l,0.5349
678,1,0.7515
679,EE,0.4004
680,l,0.7705
681,l,0.5434
682,-,0.3847
683,-,0.7681
684,E,0.4957
685,l,0.2945
686,D,0.3581
687,LT,0.4279
688,-,0.7701
689,,0.7023
690,ET,0.5011
691,-,0.3153
692,=,0.9545
693,-,0.5009
694,-,0.8713
695,DEE,0.7018
696,,0.6373
697,,0.465
698,ET,0.381
699,1,0.5481
700,-,0.6345
701,-,0.5469
702,-,0.4865
703,-,0.9334
704,-,0.8987
705,-,0.9054
706,-,0.9162
707,-,0.9149
708,-,0.4055
709,-,0.5287
710,-,0.7959
711,=,0.4749
712,REE,0.3131
713,,0.3854
714,E,0.4319
715,1,0.8452
716,LE,0.524
717,=,0.7141
718,=,0.8181
719,=,0.5706
720,-,0.9374
721,,0.5608
722,-,0.7232
723,-,0.8554
724,-,0.5051
725,=,0.4842
726,-,0.9675
727,-,0.3066
728,-,0.6169
729,1,0.3406
730,-,0.8371
731,,0.762
732,I,0.3784
733,-,0.4808
734,,0.3187
735,-,0.8886
736,-,0.8561
737,EELLE,0.2253
738,-,0.7533
739,-,0.7423
740,-,0.6878
741,-,0.7292
742,#,0.7086
743,=,0.4413
744,-,0.6883
745,E,0.197
746,-,0.9628
747,1,0.2834
748,-,0.6919
749,1,0.5674
750,1,0.287
751,=,0.3731
752,-,0.3492
753,LE,0.4211
754,1,0.4624
755,T,0.4154
756,-,0.9086
757,,0.6029
758,-,0.6382
759,=,0.4377
760,HEETTTTE,0.3229
761,,0.1531
762,-,0.653
763,L,0.3401
764,-,0.8124
765,::,0.3294
766,-,0.8692
767,-,0.8652
768,L,0.2521
769,-,0.5892
770,-,0.7897
771,-,0.9024
772,-,0.5091
773,UNSSSS,0.4209
774,-,0.7608
775,R,0.3587
776,T,0.2537
777,1,0.4019
778,l,0.4658
779,,0.7995
780,D,0.3621
781,-,0.7255
782,-,0.3739
783,L,0.5017
784,-,0.3666
785,1,0.5146
786,I,0.2935
787,-,0.4517
788,-,0.6906
789,-,0.6682
790,-,0.2572
791,-,0.54
792,-,0.885
793,-,0.8675
794,I,0.6039
795,-,0.6876
796,1,0.577
797,-,0.4956
798,-,0.9522
799,-,0.5423
800,-,0.3798
801,,0.2135
802,-,0.9202
803,L,0.421
804,:,0.9586
805,1,0.3567
806,-,0.6463
807,-,0.5264
808,-,0.7969
809,=,0.2432
810,1,0.7613
811,-,0.9218
812,-,0.9561
813,EETRE,0.2526
814,,0.6237
815,ML,0.2631
816,=,0.7053
817,--,0.3281
818,=,0.4572
819,-,0.5378
820,=,0.6364
821,-,0.6588
822,-,0.5234
823,-,0.4648
824,l,0.2614
825,I,0.292
826,1,0.5488
827,-,0.6997
828,F,0.2499
829,=,0.5376
830,T,0.407
831,-,0.2401
832,MNT,0.3374
833,E,0.2813
834,L,0.4806
835,1,0.3333
836,,0.4812
837,-E,0.5593
838,-,0.5866
839,,0.2407
840,HE,0.4844
841,L,0.1975
842,-,0.4302
843,1,0.6787
844,-,0.9049
845,L,0.4053
846,,0.4421
847,1,0.37
848,=,0.4803
849,=,0.4971
850,-,0.9013
851,-,0.6687
852,-,0.6072
853,ET,0.4416
854,=,0.462
855,1,0.2228
856,-,0.9278
857,-,0.5865
858,1,0.6572
859,-,0.7344
860,1,0.5918
861,L,0.5178
